iter	RMSE
0	8.895419798
1	8.70726472
2	8.547735468
3	8.390265412
4	8.247041262
5	8.116943091
6	7.998913762
7	7.920260032
8	7.827243121
9	7.741191412
10	7.660925837
11	7.597614147
12	7.54099533
13	7.494838817
14	7.440811274
15	7.389960985
16	7.347036544
17	7.30427131
18	7.252063515
19	7.220679017
20	7.191703219
21	7.151946025
22	7.112886406
23	7.092462653
24	7.059517426
25	7.043692347
26	7.020362858
27	6.990829244
28	6.977714544
29	6.958567101
30	6.940122606
31	6.918598905
32	6.91008794
33	6.885065568
34	6.861459968
35	6.850987819
36	6.829016395
37	6.795297089
38	6.782106364
39	6.76058568
40	6.744900126
41	6.737294627
42	6.726352523
43	6.701396614
44	6.697805003
45	6.69403831
46	6.690009624
47	6.682471779
48	6.667541623
49	6.655541591
50	6.652167087
51	6.648378536
52	6.645003164
53	6.641297652
54	6.624989037
55	6.620672807
56	6.617772269
57	6.61517303
58	6.612866688
59	6.609295277
60	6.606785818
61	6.595778908
62	6.586610473
63	6.583576292
64	6.58180389
65	6.575262195
66	6.57007418
67	6.561392987
68	6.559395509
69	6.556328852
70	6.552487466
71	6.548048325
72	6.546266038
73	6.543645965
74	6.541062426
75	6.539196468
76	6.534390854
77	6.532046711
78	6.52991741
79	6.526738748
80	6.525021336
81	6.521012688
82	6.518887382
83	6.515219016
84	6.507517329
85	6.503775603
86	6.501772541
87	6.499801231
88	6.497051726
89	6.494797749
90	6.491622343
91	6.489499499
92	6.487009398
93	6.484189201
94	6.480220086
95	6.478043407
96	6.476545619
97	6.472696763
98	6.471347974
99	6.468902591
100	6.464380454
101	6.461983135
102	6.458624482
103	6.454400311
104	6.450036087
105	6.448100656
106	6.446292287
107	6.441676618
108	6.441390487
109	6.438139303
110	6.434588291
111	6.431947273
112	6.429999025
113	6.425385268
114	6.422437854
115	6.414458281
116	6.409808833
117	6.407223862
118	6.405910226
119	6.402860109
120	6.400133239
121	6.397553263
122	6.396806699
123	6.391579116
124	6.388806376
125	6.386709
126	6.38461498
127	6.381652767
128	6.377950944
129	6.374674161
130	6.37230022
131	6.369630934
132	6.368001482
133	6.361114185
134	6.359944241
135	6.358393275
136	6.356208255
137	6.353498808
138	6.350031192
139	6.348455354
140	6.34636388
141	6.343629707
142	6.341127562
143	6.3391345
144	6.337403192
145	6.335813333
146	6.333909649
147	6.330718539
148	6.328574185
149	6.325751508
150	6.322623612
151	6.320282203
152	6.316353993
153	6.31454629
154	6.312807803
155	6.310149821
156	6.306979172
157	6.305561474
158	6.303305869
159	6.30121071
160	6.298042871
161	6.295668782
162	6.293616533
163	6.291066265
164	6.288641884
165	6.285846639
166	6.282675216
167	6.280027185
168	6.27803279
169	6.274616712
170	6.271890256
171	6.269377159
172	6.266173376
173	6.26446398
174	6.261969534
175	6.258386882
176	6.256518848
177	6.255065372
178	6.253380327
179	6.251270989
180	6.249270169
181	6.246489121
182	6.244764591
183	6.242787793
184	6.239996161
185	6.238116865
186	6.235769508
187	6.233412763
188	6.228684628
189	6.226624854
190	6.219514879
191	6.217273917
192	6.215515302
193	6.207169268
194	6.20234715
195	6.20109908
196	6.196995395
197	6.191396016
198	6.189179868
199	6.186226584
200	6.184047119
201	6.181731226
202	6.179765441
203	6.175376025
204	6.173502548
205	6.170978963
206	6.168444203
207	6.164762539
208	6.162466303
209	6.159674093
210	6.155863673
211	6.152690263
212	6.151066952
213	6.149144836
214	6.145514365
215	6.143358015
216	6.140191208
217	6.137297052
218	6.133355906
219	6.131413087
220	6.129477626
221	6.123426659
222	6.12020592
223	6.118770446
224	6.116617018
225	6.115174836
226	6.113060649
227	6.111448856
228	6.107447788
229	6.104137332
230	6.100950633
231	6.099235477
232	6.096399333
233	6.094759528
234	6.092963193
235	6.090836111
236	6.088585585
237	6.086214188
238	6.084261002
239	6.082671536
240	6.080446861
241	6.076562154
242	6.073655157
243	6.07143224
244	6.069851998
245	6.067659293
246	6.064425825
247	6.062024246
248	6.060636699
249	6.058953381
250	6.05384044
251	6.051484469
252	6.047973881
253	6.046220497
254	6.044510719
255	6.041218466
256	6.038784273
257	6.037050324
258	6.035009382
259	6.032090604
260	6.028991178
261	6.027471383
262	6.026126284
263	6.024714557
264	6.022931385
265	6.021498912
266	6.019744652
267	6.017749803
268	6.015683479
269	6.013844769
270	6.012164076
271	6.009563148
272	6.00707663
273	6.004602541
274	6.002347687
275	5.999890921
276	5.998055284
277	5.99640516
278	5.994625398
279	5.993326806
280	5.991625678
281	5.988698172
282	5.985936851
283	5.983767802
284	5.981109355
285	5.977823341
286	5.975687876
287	5.973041707
288	5.969540224
289	5.967001774
290	5.966160672
291	5.963751374
292	5.961240358
293	5.959229501
294	5.957137038
295	5.954082004
296	5.95248052
297	5.950017566
298	5.94741286
299	5.945770997
300	5.943931039
301	5.941662157
302	5.94002441
303	5.937416388
304	5.935306918
305	5.932424428
306	5.930987927
307	5.929141292
308	5.927512521
309	5.924553563
310	5.92125473
311	5.918245893
312	5.91560989
313	5.913791087
314	5.911838174
315	5.910449643
316	5.908367681
317	5.906665849
318	5.904758805
319	5.902996084
320	5.90124047
321	5.898568919
322	5.895498608
323	5.893891617
324	5.892165279
325	5.890081425
326	5.888039082
327	5.886097757
328	5.884802222
329	5.88350103
330	5.882036243
331	5.879220119
332	5.87704359
333	5.875177467
334	5.873895277
335	5.872680316
336	5.870802397
337	5.868968222
338	5.86743333
339	5.865048755
340	5.863515677
341	5.86264241
342	5.861368436
343	5.860099152
344	5.857602922
345	5.85597113
346	5.853539979
347	5.851910155
348	5.850121747
349	5.848131571
350	5.846383545
351	5.845133356
352	5.843569022
353	5.842175021
354	5.839805732
355	5.836987584
356	5.835321165
357	5.833575979
358	5.831137677
359	5.828760724
360	5.826085111
361	5.82490956
362	5.823159156
363	5.820698171
364	5.818809548
365	5.816618681
366	5.814002291
367	5.811972879
368	5.809869215
369	5.808494088
370	5.807373344
371	5.804740437
372	5.803614079
373	5.80175011
374	5.799982045
375	5.798722363
376	5.79678956
377	5.794516819
378	5.793242011
379	5.791049033
380	5.789110901
381	5.786661128
382	5.785606659
383	5.784299162
384	5.782201987
385	5.78140934
386	5.778745227
387	5.776763156
388	5.775368967
389	5.772877452
390	5.771109864
391	5.768589931
392	5.766093065
393	5.763018217
394	5.760597135
395	5.758946431
396	5.757277292
397	5.754699543
398	5.752969533
399	5.75172395
400	5.75016856
401	5.748809484
402	5.747824325
403	5.746266325
404	5.74438554
405	5.742382836
406	5.74033743
407	5.738623082
408	5.737292302
409	5.734848092
410	5.732738344
411	5.731245221
412	5.730005967
413	5.728555856
414	5.727118189
415	5.724684672
416	5.723216351
417	5.721719754
418	5.72053588
419	5.718962295
420	5.716816127
421	5.714736675
422	5.712629881
423	5.711387552
424	5.710682945
425	5.708794559
426	5.706619318
427	5.704608546
428	5.70157923
429	5.6993246
430	5.69731835
431	5.695476637
432	5.69325914
433	5.69177295
434	5.690250092
435	5.688022281
436	5.686115105
437	5.6852933
438	5.683485192
439	5.682489656
440	5.680619378
441	5.67917246
442	5.677190019
443	5.675162115
444	5.674178772
445	5.672334202
446	5.670971535
447	5.670042435
448	5.667626324
449	5.665797322
450	5.663939825
451	5.662087846
452	5.659835386
453	5.658443009
454	5.656955971
455	5.655878378
456	5.654362185
457	5.65310854
458	5.650796493
459	5.649281725
460	5.647758936
461	5.646024059
462	5.644326851
463	5.643106772
464	5.640555468
465	5.638595927
466	5.637375662
467	5.635292966
468	5.633962803
469	5.632031179
470	5.630512043
471	5.629096342
472	5.627512073
473	5.6261544
474	5.624767487
475	5.623203384
476	5.620978967
477	5.620157782
478	5.618514685
479	5.617187424
480	5.614629219
481	5.612529895
482	5.61131211
483	5.609861134
484	5.608392035
485	5.605817274
486	5.604592971
487	5.601979496
488	5.600559005
489	5.598875117
490	5.597245239
491	5.596111524
492	5.594320534
493	5.592495591
494	5.590469308
495	5.588948231
496	5.587561582
497	5.585380276
498	5.583263007
499	5.580904149
500	5.578804826
501	5.577058129
502	5.576180784
503	5.573643348
504	5.5714079
505	5.570114908
506	5.568849119
507	5.567121598
508	5.565869004
509	5.56447196
510	5.56277471
511	5.561767928
512	5.559723003
513	5.557657629
514	5.555530334
515	5.553977682
516	5.552048893
517	5.550511416
518	5.547877682
519	5.546246602
520	5.544974784
521	5.543609511
522	5.54204023
523	5.540511116
524	5.539218701
525	5.5368824
526	5.535024288
527	5.533342576
528	5.531465803
529	5.529349786
530	5.527618039
531	5.52573612
532	5.523643695
533	5.52194207
534	5.519613823
535	5.517644417
536	5.51644605
537	5.515394987
538	5.514087445
539	5.512613748
540	5.510979611
541	5.508486571
542	5.506919412
543	5.504798359
544	5.503728382
545	5.501789875
546	5.500676529
547	5.499162384
548	5.498063359
549	5.497439326
550	5.495782904
551	5.494288185
552	5.492930403
553	5.491345611
554	5.489349705
