iter	Passed	Remaining
0	4	4135
1	8	4055
2	12	4202
3	16	4220
4	20	4030
5	23	3892
6	27	3892
7	30	3814
8	34	3754
9	37	3696
10	41	3740
11	44	3688
12	48	3648
13	51	3604
14	54	3607
15	57	3555
16	61	3534
17	64	3492
18	66	3454
19	70	3436
20	73	3407
21	80	3580
22	83	3549
23	86	3516
24	89	3493
25	92	3469
26	95	3447
27	99	3441
28	102	3418
29	105	3395
30	107	3368
31	110	3349
32	113	3336
33	116	3319
34	119	3301
35	122	3286
36	125	3271
37	129	3274
38	132	3257
39	135	3241
40	137	3227
41	140	3213
42	149	3325
43	153	3336
44	157	3337
45	161	3343
46	165	3357
47	168	3350
48	173	3360
49	177	3380
50	180	3364
51	183	3350
52	187	3353
53	190	3339
54	193	3329
55	196	3316
56	199	3307
57	203	3312
58	208	3318
59	212	3324
60	216	3327
61	220	3340
62	225	3353
63	228	3344
64	234	3372
65	239	3383
66	243	3392
67	249	3415
68	253	3426
69	257	3427
70	261	3427
71	265	3425
72	269	3419
73	272	3413
74	276	3410
75	280	3408
76	284	3406
77	287	3400
78	291	3402
79	295	3393
80	299	3397
81	303	3392
82	307	3401
83	313	3422
84	318	3426
85	325	3454
86	330	3470
87	336	3487
88	342	3503
89	347	3515
90	352	3523
91	358	3535
92	362	3538
93	368	3552
94	372	3551
95	376	3542
96	381	3553
97	385	3549
98	389	3541
99	392	3528
100	396	3531
101	399	3521
102	402	3509
103	405	3497
104	410	3498
105	413	3489
106	416	3478
107	419	3468
108	422	3455
109	426	3447
110	429	3443
111	433	3433
112	436	3425
113	439	3418
114	443	3411
115	446	3401
116	449	3392
117	453	3388
118	456	3378
119	459	3369
120	462	3360
121	465	3351
122	468	3342
123	471	3332
124	474	3323
125	477	3313
126	480	3302
127	484	3303
128	488	3295
129	491	3288
130	494	3280
131	498	3277
132	502	3276
133	505	3267
134	508	3258
135	511	3252
136	514	3243
137	522	3263
138	525	3257
139	528	3248
140	531	3240
141	534	3230
142	537	3221
143	540	3212
144	543	3202
145	546	3194
146	549	3186
147	552	3179
148	556	3177
149	559	3168
150	561	3159
151	565	3152
152	568	3145
153	571	3141
154	575	3135
155	578	3127
156	581	3121
157	584	3116
158	588	3111
159	591	3106
160	595	3105
161	599	3101
162	602	3094
163	605	3088
164	609	3083
165	612	3079
166	616	3076
167	620	3072
168	623	3066
169	626	3060
170	630	3056
171	633	3050
172	637	3045
173	640	3039
174	643	3035
175	647	3029
176	651	3027
177	654	3022
178	658	3019
179	661	3013
180	664	3007
181	667	3001
182	671	2997
183	674	2991
184	677	2983
185	681	2980
186	684	2976
187	688	2974
188	692	2971
189	696	2969
190	701	2969
191	704	2964
192	707	2960
193	711	2956
194	714	2949
195	717	2942
196	720	2935
197	723	2930
198	726	2924
199	730	2920
200	733	2914
201	736	2908
202	739	2902
203	742	2896
204	745	2892
205	749	2887
206	752	2881
207	755	2876
208	759	2872
209	763	2870
210	766	2865
211	770	2863
212	773	2858
213	776	2852
214	779	2847
215	783	2842
216	785	2835
217	788	2830
218	791	2824
219	794	2817
220	797	2811
221	800	2805
222	803	2799
223	806	2793
224	808	2786
225	811	2780
226	815	2778
227	819	2775
228	822	2770
229	826	2765
230	829	2761
231	833	2757
232	836	2752
233	839	2748
234	842	2742
235	845	2736
236	848	2732
237	851	2726
238	854	2720
239	857	2714
240	859	2707
241	863	2703
242	866	2699
243	877	2718
244	880	2712
245	883	2706
246	885	2700
247	888	2694
248	891	2688
249	894	2682
250	897	2677
251	900	2671
252	903	2666
253	906	2661
254	908	2655
255	911	2649
256	914	2644
257	917	2638
258	920	2633
259	923	2628
260	926	2622
261	928	2616
262	931	2610
263	934	2605
264	937	2599
265	940	2595
266	943	2591
267	947	2586
268	950	2582
269	953	2578
270	956	2573
271	960	2569
272	964	2568
273	967	2564
