iter	RMSE
0	1.564327987
1	1.5323255
2	1.505437877
3	1.478486476
4	1.456212371
5	1.43488923
6	1.416724909
7	1.399701131
8	1.383873463
9	1.369046517
10	1.355513403
11	1.343180269
12	1.333753664
13	1.324134165
14	1.31591946
15	1.307421328
16	1.299481919
17	1.293218353
18	1.286973951
19	1.281541123
20	1.276320499
21	1.271481139
22	1.267002482
23	1.261161424
24	1.257289221
25	1.252873751
26	1.24863475
27	1.245539669
28	1.241679128
29	1.237910495
30	1.233925471
31	1.231323916
32	1.228169874
33	1.225605281
34	1.222647689
35	1.218471754
36	1.216349385
37	1.213940752
38	1.211058116
39	1.208216166
40	1.206453741
41	1.203725179
42	1.202265177
43	1.200701938
44	1.199014303
45	1.197784169
46	1.195455488
47	1.193707862
48	1.192094178
49	1.190266057
50	1.188253672
51	1.186538255
52	1.184490894
53	1.182733768
54	1.181784321
55	1.180702422
56	1.179798348
57	1.178494581
58	1.176737821
59	1.17536714
60	1.17457239
61	1.173475295
62	1.172129391
63	1.170176869
64	1.168985322
65	1.167810073
66	1.166670446
67	1.165082285
68	1.164508683
69	1.163444623
70	1.162635271
71	1.16169555
72	1.16109845
73	1.16006004
74	1.15991917
75	1.159224561
76	1.15810983
77	1.157249537
78	1.156081071
79	1.15591842
80	1.154718621
81	1.154595621
82	1.154054257
83	1.153363557
84	1.153201483
85	1.152809142
86	1.151830996
87	1.15148408
88	1.150644218
89	1.150084322
90	1.148857213
91	1.147950394
92	1.147106136
93	1.145375559
94	1.14428762
95	1.143113641
96	1.142538592
97	1.141374506
98	1.140792495
99	1.140345523
100	1.139347769
101	1.139054577
102	1.137778615
103	1.136875163
104	1.136271106
105	1.135385594
106	1.134827255
107	1.134390808
108	1.133902394
109	1.133815059
110	1.133701014
111	1.133347965
112	1.132739193
113	1.132413521
114	1.131536523
115	1.13145656
116	1.130856366
117	1.129621382
118	1.129219409
119	1.128755258
120	1.128131098
121	1.128006347
122	1.127283972
123	1.126646706
124	1.126456131
125	1.125943548
126	1.125811444
127	1.125305589
128	1.124777558
129	1.124662845
130	1.124397927
131	1.124023251
132	1.12325526
133	1.123131026
134	1.122124802
135	1.121126578
136	1.120987761
137	1.119655721
138	1.119592885
139	1.119459483
140	1.119351833
141	1.119250527
142	1.118927129
143	1.118833185
144	1.117725414
145	1.117270748
146	1.117144671
147	1.117087087
148	1.116959302
149	1.115903436
150	1.115592177
151	1.115362766
152	1.115277133
153	1.115162971
154	1.115068772
155	1.114971511
156	1.114849127
157	1.114760599
158	1.114038877
159	1.11354986
160	1.113448378
161	1.112502786
162	1.112376389
163	1.112266669
164	1.112178212
165	1.112100952
166	1.111997371
167	1.111373912
168	1.110518012
169	1.110267764
170	1.109091303
171	1.107952452
172	1.107121615
173	1.107007602
174	1.10649452
175	1.106391991
176	1.10546238
177	1.10536014
178	1.104387257
179	1.104286163
180	1.103355913
181	1.102686963
182	1.101962532
183	1.101863504
184	1.101533824
185	1.101329057
186	1.100319589
187	1.099403037
188	1.099307985
189	1.098938175
190	1.098055661
191	1.097462501
192	1.09671651
193	1.095947948
194	1.095853485
195	1.094984667
196	1.094148965
197	1.09348374
198	1.092776135
199	1.092652144
200	1.091842452
201	1.091748898
202	1.091309353
203	1.091189304
204	1.091096713
205	1.090283972
206	1.090193978
207	1.089616367
208	1.088919061
209	1.088207808
210	1.087239897
211	1.087149983
212	1.086604303
213	1.086516859
214	1.085927038
215	1.085230275
216	1.08482507
217	1.084432829
218	1.084341736
219	1.084163282
220	1.08359205
221	1.083506398
222	1.082883302
223	1.08178577
224	1.081213108
225	1.080391543
226	1.079630155
227	1.078743202
228	1.078658988
229	1.078576294
230	1.078201519
231	1.078084976
232	1.077248572
233	1.076641686
234	1.07611761
235	1.075385371
236	1.075017118
237	1.074449546
238	1.074319661
239	1.074237986
240	1.074009958
241	1.07392978
242	1.073563581
