iter	Passed	Remaining
0	30	123642
1	51	102017
2	78	104421
3	95	95239
4	112	89927
5	130	86958
6	147	84234
7	165	82684
8	185	82212
9	203	81196
10	222	80756
11	243	80918
12	263	80779
13	282	80357
14	304	80915
15	323	80439
16	339	79581
17	356	78918
18	373	78163
19	390	77678
20	408	77446
21	425	77004
22	447	77350
23	469	77740
24	494	78677
25	512	78308
26	531	78185
27	549	77930
28	568	77786
29	585	77442
30	604	77352
31	622	77152
32	644	77481
33	663	77382
34	686	77815
35	712	78410
36	729	78152
37	746	77873
38	763	77562
39	780	77246
40	797	77038
41	815	76818
42	831	76471
43	849	76346
44	866	76171
45	885	76100
46	903	75949
47	919	75739
48	937	75553
49	954	75383
50	971	75194
51	993	75434
52	1017	75800
53	1040	76006
54	1060	76057
55	1082	76216
56	1099	76086
57	1118	76016
58	1136	75891
59	1155	75890
60	1175	75903
61	1194	75841
62	1211	75709
63	1230	75660
64	1248	75593
65	1267	75543
66	1285	75479
67	1304	75451
68	1324	75458
69	1343	75405
70	1368	75752
71	1399	76337
72	1429	76923
73	1456	77282
74	1480	77461
75	1500	77463
76	1519	77424
77	1546	77763
78	1574	78156
79	1605	78687
80	1632	78993
81	1651	78918
82	1673	78991
83	1692	78905
84	1709	78756
85	1727	78624
86	1746	78572
87	1772	78817
88	1799	79057
89	1826	79330
90	1847	79357
91	1868	79391
92	1891	79476
93	1911	79439
94	1935	79547
95	1964	79892
96	1990	80103
97	2017	80344
98	2043	80517
99	2074	80898
100	2099	81045
101	2133	81551
102	2153	81496
103	2174	81461
104	2192	81349
105	2217	81464
106	2236	81363
107	2255	81292
108	2277	81287
109	2298	81276
110	2317	81207
111	2337	81137
112	2355	81017
113	2374	80947
114	2398	81025
115	2417	80938
116	2434	80798
117	2452	80692
118	2470	80569
119	2488	80447
120	2505	80312
121	2530	80427
122	2547	80294
123	2565	80179
124	2583	80074
125	2600	79944
126	2618	79848
127	2637	79773
128	2654	79648
129	2677	79715
130	2703	79846
131	2721	79756
132	2738	79616
133	2755	79504
134	2772	79370
135	2788	79219
136	2805	79100
137	2828	79160
138	2856	79340
139	2882	79461
140	2901	79403
141	2918	79282
142	2936	79190
143	2953	79092
144	2971	78993
145	2987	78856
146	3004	78742
147	3021	78641
148	3039	78545
149	3057	78464
150	3075	78384
151	3092	78278
152	3109	78187
153	3131	78197
154	3150	78156
155	3168	78081
156	3187	78034
157	3207	77998
158	3240	78274
159	3267	78427
160	3296	78612
161	3323	78729
162	3343	78705
163	3371	78851
164	3392	78844
165	3413	78833
166	3431	78751
167	3448	78662
168	3465	78563
169	3482	78464
170	3499	78366
171	3521	78374
172	3588	79374
173	3617	79543
174	3645	79688
175	3705	80507
176	3735	80687
177	3764	80833
178	3789	80895
179	3816	80991
180	3844	81118
181	3872	81242
182	3937	82124
183	3973	82401
184	4006	82616
185	4031	82673
186	4055	82693
187	4077	82677
188	4100	82686
189	4121	82638
190	4142	82619
191	4160	82517
192	4179	82433
193	4198	82376
194	4218	82322
195	4238	82253
196	4270	82444
197	4306	82697
198	4349	83068
199	4396	83529
200	4525	85540
201	4606	86610
202	4691	87761
203	4721	87864
204	4798	88822
205	4873	89752
206	4920	90167
207	4975	90699
208	5067	91921
209	5113	92282
210	5151	92507
211	5199	92896
212	5226	92917
213	5262	93110
214	5293	93196
215	5324	93282
216	5353	93331
217	5386	93444
218	5420	93589
219	5459	93797
220	5482	93754
221	5509	93767
222	5536	93778
223	5570	93902
224	5718	95939
225	5748	95993
226	5794	96309
227	5860	96958
228	5890	96996
229	5944	97443
230	5976	97506
231	5995	97376
232	6011	97189
233	6028	97021
234	6047	96885
235	6067	96775
236	6095	96780
237	6130	96896
238	6171	97114
239	6198	97105
240	6224	97080
241	6245	96992
242	6263	96836
243	6282	96705
244	6301	96586
245	6320	96453
246	6338	96304
247	6355	96152
248	6372	96003
249	6391	95871
250	6410	95742
251	6428	95611
252	6447	95483
253	6465	95359
254	6484	95238
255	6503	95112
256	6520	94973
257	6539	94844
258	6556	94707
259	6575	94579
260	6592	94444
261	6611	94323
262	6629	94205
263	6647	94073
264	6664	93929
265	6682	93803
266	6700	93675
267	6717	93543
268	6735	93427
269	6753	93302
270	6770	93163
271	6786	93019
272	6802	92871
273	6819	92738
274	6837	92610
275	6855	92497
276	6873	92387
277	6892	92274
278	6910	92160
279	6930	92073
280	6947	91948
281	6964	91824
282	6981	91696
283	6998	91566
284	7015	91442
285	7032	91330
286	7050	91216
287	7068	91102
288	7085	90986
289	7103	90878
290	7121	90774
291	7139	90665
292	7158	90566
293	7190	90643
294	7210	90554
295	7228	90448
296	7245	90342
297	7263	90232
298	7281	90125
