iter	Passed	Remaining
0	277	277146
1	442	220874
2	579	192460
3	703	175102
4	865	172222
5	976	161785
6	1105	156793
7	1198	148560
8	1291	142161
9	1385	137211
10	1478	132899
11	1576	129761
12	1668	126693
13	1768	124539
14	1860	122157
15	1960	120578
16	2054	118774
17	2161	117926
18	2250	116217
19	2347	115037
20	2439	113712
21	2548	113302
22	2638	112095
23	2733	111156
24	2832	110481
25	2921	109454
26	3017	108744
27	3106	107855
28	3201	107185
29	3297	106611
30	3386	105852
31	3482	105333
32	3570	104628
33	3658	103949
34	3757	103591
35	3846	103000
36	3936	102454
37	4030	102044
38	4118	101481
39	4214	101153
40	4314	100907
41	4408	100547
42	4517	100531
43	4610	100171
44	4706	99886
45	4799	99532
46	4894	99247
47	4981	98808
48	5069	98388
49	5167	98175
50	5254	97772
51	5347	97485
52	5442	97240
53	5529	96869
54	5617	96516
55	5718	96405
56	5819	96277
57	5909	95981
58	6016	95950
59	6141	96210
60	6256	96313
61	6364	96284
62	6452	95964
63	6539	95643
64	6632	95405
65	6721	95123
66	6809	94817
67	6906	94658
68	6993	94355
69	7082	94095
70	7177	93920
71	7267	93676
72	7362	93490
73	7456	93307
74	7549	93115
75	7648	92993
76	7736	92732
77	7831	92566
78	7922	92358
79	8019	92223
80	8106	91978
81	8200	91805
82	8289	91579
83	8375	91338
84	8475	91235
85	8563	91012
86	8649	90773
87	8744	90629
88	8831	90400
89	8918	90175
90	9015	90051
91	9101	89831
92	9188	89611
93	9286	89508
94	9373	89297
95	9461	89091
96	9555	88958
97	9641	88745
98	9735	88599
99	9822	88398
100	9909	88202
101	10006	88096
102	10097	87940
103	10195	87837
104	10282	87647
105	10370	87464
106	10469	87372
107	10559	87215
108	10647	87034
109	10743	86923
110	10830	86737
111	10917	86563
112	11016	86472
113	11107	86330
114	11239	86494
115	11394	86834
116	11507	86846
117	11607	86761
118	11697	86599
119	11784	86422
120	11885	86344
121	11972	86162
122	12068	86046
123	12161	85912
124	12250	85754
125	12341	85608
126	12428	85434
127	12532	85377
128	12624	85238
129	12715	85096
130	12808	84963
131	12895	84794
132	12988	84667
133	13077	84515
134	13163	84345
135	13261	84250
136	13348	84083
137	13434	83918
138	13528	83797
139	13624	83691
140	13715	83558
141	13811	83454
142	13898	83291
143	13995	83196
144	14082	83037
145	14168	82877
146	14285	82895
147	14380	82783
148	14468	82637
149	14563	82528
150	14650	82374
151	14753	82307
152	14874	82346
153	14992	82362
154	15091	82273
155	15183	82147
156	15272	82002
157	15367	81894
158	15456	81754
159	15569	81739
160	15702	81826
161	15812	81797
162	15917	81737
163	16025	81692
164	16126	81611
165	16228	81535
166	16326	81437
167	16419	81313
168	16535	81305
169	16644	81265
170	16751	81212
171	16840	81068
172	16939	80976
173	17026	80826
174	17113	80676
175	17206	80559
176	17293	80407
177	17381	80266
178	17482	80186
179	17572	80051
180	17659	79905
181	17755	79800
182	17852	79703
183	17949	79600
184	18036	79458
185	18128	79335
186	18216	79196
187	18307	79072
188	18395	78934
189	18486	78811
190	18578	78690
191	18664	78548
192	18756	78426
193	18850	78317
194	18937	78179
195	19034	78079
196	19121	77941
197	19214	77828
198	19301	77691
199	19393	77574
200	19481	77439
201	19576	77335
202	19663	77199
203	19750	77064
204	19840	76943
205	19927	76808
206	20015	76676
207	20109	76570
208	20197	76440
209	20289	76328
210	20376	76194
211	20462	76059
212	20556	75953
213	20644	75825
214	20732	75698
215	20823	75582
216	20910	75452
217	20998	75325
218	21094	75226
219	21183	75106
220	21271	74978
221	21363	74867
222	21449	74737
223	21536	74607
224	21632	74513
225	21733	74433
226	21837	74361
227	21958	74352
228	22054	74254
229	22146	74143
230	22236	74025
231	22327	73913
232	22414	73786
233	22508	73681
234	22608	73596
235	22698	73482
236	22791	73376
237	22878	73250
238	22966	73126
239	23065	73040
240	23152	72916
241	23247	72816
242	23340	72711
243	23427	72587
244	23514	72462
245	23606	72355
246	23693	72230
247	23786	72125
248	23877	72015
249	23964	71893
250	24054	71781
251	24149	71681
252	24244	71583
253	24335	71473
254	24431	71379
255	24518	71257
256	24612	71156
257	24699	71035
258	24794	70937
259	24881	70816
260	24974	70713
261	25061	70592
262	25157	70498
263	25254	70406
264	25344	70296
265	25441	70203
266	25528	70084
267	25621	69979
268	25715	69882
269	25816	69800
270	25907	69691
271	26002	69594
272	26088	69474
273	26184	69379
274	26270	69259
275	26366	69163
276	26464	69076
277	26558	68975
278	26644	68856
279	26737	68754
280	26831	68654
281	26948	68614
282	27053	68541
283	27174	68509
284	27266	68404
285	27352	68286
286	27457	68213
287	27544	68095
288	27630	67977
289	27726	67881
290	27814	67766
291	27909	67671
292	28007	67581
293	28094	67464
294	28190	67371
295	28289	67283
296	28398	67219
297	28501	67141
298	28601	67056
299	28699	66965
300	28799	66878
301	28902	66800
302	29006	66723
303	29097	66618
304	29193	66522
305	29282	66411
306	29373	66306
307	29459	66189
308	29550	66081
309	29642	65978
310	29730	65866
311	29816	65749
312	29911	65651
313	29998	65537
314	30088	65430
315	30185	65338
316	30271	65222
317	30364	65121
318	30451	65007
319	30555	64929
320	30649	64831
321	30736	64718
322	30828	64616
323	30915	64502
324	31001	64388
325	31098	64295
326	31198	64208
327	31288	64102
328	31374	63988
329	31465	63884
330	31560	63787
331	31650	63682
332	31743	63582
333	31829	63469
334	31921	63367
335	32008	63254
336	32098	63149
337	32210	63086
338	32320	63020
339	32441	62975
340	32529	62865
341	32616	62753
342	32712	62659
343	32799	62548
344	32886	62436
345	32979	62337
346	33080	62253
347	33170	62147
348	33268	62056
349	33356	61948
350	33453	61855
351	33540	61745
352	33633	61645
353	33720	61535
354	33817	61442
355	33903	61331
356	33996	61232
357	34083	61122
358	34172	61014
359	34268	60921
360	34356	60814
361	34443	60704
362	34533	60600
363	34620	60490
364	34706	60380
365	34806	60293
366	34893	60184
367	34980	60075
368	35072	59974
369	35159	59865
370	35246	59757
371	35340	59661
372	35427	59551
373	35516	59446
374	35611	59352
375	35708	59260
376	35800	59160
377	35898	59071
378	35985	58962
379	36076	58861
380	36164	58755
381	36256	58656
382	36344	58549
383	36433	58444
384	36529	58351
385	36614	58242
386	36705	58141
387	36792	58033
388	36879	57926
389	36974	57832
390	37060	57723
391	37155	57628
392	37242	57521
393	37333	57421
394	37459	57374
395	37554	57280
396	37670	57217
